Key,Path,AssetBundle,LevelKey,EnemyId,SummonedEnemy,Intensive,CellarSprite,Hp,Speed,SpeedRate,Critical,IsBoss,ExtraAssetBundle,BossBgm,BossRoom,BossWeapon,SubspeciesBoss,DoubleBosses,DropOffsetX,DropOffsetY,Drops,DropGroups
e_orc01,Level/1/A/Enemy/e_orc01/e_orc01.prefab,level/1/a,1A,e_orc01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_39"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",8,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc02,Level/1/A/Enemy/e_orc02/e_orc02.prefab,level/1/a,1A,e_orc02,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_40"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",8,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc03,Level/1/A/Enemy/e_orc03/e_orc03.prefab,level/1/a,1A,e_orc03,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_41"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",8,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc04,Level/1/A/Enemy/e_orc04/e_orc04.prefab,level/1/a,1A,e_orc04,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_42"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",15,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc05,Level/1/A/Enemy/e_orc05/e_orc05.prefab,level/1/a,1A,e_orc05,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_43"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",15,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc06,Level/1/A/Enemy/e_orc06/e_orc06.prefab,level/1/a,1A,e_orc06,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_44"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",15,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc07,Level/1/A/Enemy/e_orc07/e_orc07.prefab,level/1/a,1A,e_orc07,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_45"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",15,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc08,Level/1/A/Enemy/e_orc08/e_orc08.prefab,level/1/a,1A,e_orc08,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_38"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",40,3,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_orc_elite_archer,Level/1/A/Enemy/e_orc_elite_archer/e_orc_elite_archer.prefab,level/1/a,1A,e_orc_elite_archer,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_49"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",12,4,0,20,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_plottedPlant,Level/1/A/Enemy/e_plottedPlant/e_plottedPlant.prefab,level/1/a,1A,e_plottedPlant,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""e_plottedPlant"",""tex"":""Assets/RGTexture/enemy/cellar/e_plottedPlant.png""}",20,4,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_shark,Level/1/A/Enemy/e_shark/e_shark.prefab,level/1/a,1A,e_shark,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_83"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",15,2,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_succulent,Level/1/A/Enemy/e_succulent/e_succulent.prefab,level/1/a,1A,e_succulent,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_48"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",8,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""plant_trumpet_seed""},""probability"":2.5,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_boar01,Level/1/A/Enemy/e_boar01/ex_boar01.prefab,level/1/a,1A,e_boar01,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_46"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",26,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_cell""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_boar02,Level/1/A/Enemy/e_boar02/ex_boar02.prefab,level/1/a,1A,e_boar02,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_47"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",30,3,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_cell""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_fire_sacrifice,Level/1/A/Enemy/e_fire_sacrifice/ex_fire_sacrifice.prefab,level/1/a,1A,e_fire_sacrifice,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_50"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",48,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc01,Level/1/A/Enemy/e_orc01/ex_orc01.prefab,level/1/a,1A,e_orc01,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_39"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",24,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc02,Level/1/A/Enemy/e_orc02/ex_orc02.prefab,level/1/a,1A,e_orc02,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_40"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",32,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc03,Level/1/A/Enemy/e_orc03/ex_orc03.prefab,level/1/a,1A,e_orc03,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_41"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",24,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc04,Level/1/A/Enemy/e_orc04/ex_orc04.prefab,level/1/a,1A,e_orc04,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_42"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",40,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_gear""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc05,Level/1/A/Enemy/e_orc05/ex_orc05.prefab,level/1/a,1A,e_orc05,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_43"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",50,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc06,Level/1/A/Enemy/e_orc06/ex_orc06.prefab,level/1/a,1A,e_orc06,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_44"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",55,5,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc07,Level/1/A/Enemy/e_orc07/ex_orc07.prefab,level/1/a,1A,e_orc07,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_45"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",45,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_wood""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc08,Level/1/A/Enemy/e_orc08/ex_orc08.prefab,level/1/a,1A,e_orc08,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_38"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",120,3,0,0,False,,,,,,"{}",0,1,"[{""item"":{""item"":""material_gear""},""probability"":4.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_orc_elite_archer,Level/1/A/Enemy/e_orc_elite_archer/ex_orc_elite_archer.prefab,level/1/a,1A,e_orc_elite_archer,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_49"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",48,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.1,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
ex_plottedPlant,Level/1/A/Enemy/e_plottedPlant/ex_plottedPlant.prefab,level/1/a,1A,e_plottedPlant,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""e_plottedPlant"",""tex"":""Assets/RGTexture/enemy/cellar/e_plottedPlant.png""}",60,4,0,10,False,,,,,,"{}",0,0,"[]","[]"
ex_shark,Level/1/A/Enemy/e_shark/ex_shark.prefab,level/1/a,1A,e_shark,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_83"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",40,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
ex_succulent,Level/1/A/Enemy/e_succulent/ex_succulent.prefab,level/1/a,1A,e_succulent,False,True,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_48"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",44,4,0,0,False,,,,,,"{}",0,1,"[{""item"":{""item"":""plant_trumpet_seed""},""probability"":5.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
tmp_e_egg00,Level/1/A/Boss/boss19/tmp_e_egg00.prefab,boss/boss19,1A,e_egg01,True,False,"{}",9,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
tmp_e_egg03,Level/1/A/Boss/boss19/tmp_e_egg03.prefab,boss/boss19,1A,e_egg02,True,False,"{}",9,5,0,0,False,,,,,,"{}",0,0,"[]","[]"
tmp_ex_egg00,Level/1/A/Boss/boss19/tmp_ex_egg00.prefab,boss/boss19,1A,e_egg01,True,True,"{}",16,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
tmp_ex_egg03,Level/1/A/Boss/boss19/tmp_ex_egg03.prefab,boss/boss19,1A,e_egg02,True,True,"{}",14,4,0,0,False,,,,,,"{}",0,0,"[]","[]"
boss09,Level/1/B/Boss/boss09/boss09.prefab,boss/boss09,1B,boss09,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_49"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",450,6,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/B/Boss/boss09/r1_boss3.prefab,weapon_122,,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,1,"[{""item"":{""item"":""material_cell""},""probability"":100.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_lotus_seed""},""probability"":25.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skill_Viking_2""},""probability"":33.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[{""type"":0,""bluePrint"":{""item"":""blueprint_skill_Viking_2""},""material"":{""item"":""""},""requiredNum"":0,""inverse"":true},{""type"":2,""bluePrint"":{""item"":""""},""material"":{""item"":""material_skill_Viking_2""},""requiredNum"":8,""inverse"":false}]}]","[]"
boss10,Level/1/B/Boss/boss10/boss10.prefab,boss/boss10,1B,boss10,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_50"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",400,3,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/B/Boss/boss10/r1_boss4.prefab,weapon_127,boss10_2,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,1,"[{""item"":{""item"":""material_iron""},""probability"":100.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_mushroom_seed""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss10""},""probability"":40.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss10_2,Level/1/B/Boss/boss10/boss10_2.prefab,boss/boss10,1B,boss10_2,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_98"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",480,3,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/B/Boss/boss10/r1_boss4.prefab,weapon_306,,"{}",0,1,"[{""item"":{""item"":""material_iron""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_mushroom_gold_seed""},""probability"":10.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss10""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
