Key,Type,SubType,DataStr
blueprint_magic_area_skin_0,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""magic_area_skin_0"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_magic_area_skin_0"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_magic_area_skin_1,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""magic_area_skin_1"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_magic_area_skin_1"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_work_shop_skin_0,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""work_shop_skin_0"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_work_shop_skin_0"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_work_shop_skin_1,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""work_shop_skin_1"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_work_shop_skin_1"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_work_shop_skin_2,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""work_shop_skin_2"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_work_shop_skin_2"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_m_mecha_normal_e,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mecha_normal_e"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":3000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":false,""IsFromMechFragment"":true,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mecha_normal_e"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""blueprint_mech_2"",""tex"":""Assets/RGTexture/items/blueprint_mech.png""},""IconPosition"":{""x"":0.0,""y"":0.021,""z"":0.0},""IconScale"":0.3,""IconRotation"":0.0}"
blueprint_m_mecha_normal_d,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mecha_normal_d"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":3000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":false,""IsFromMechFragment"":true,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mecha_normal_d"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""blueprint_mech_1"",""tex"":""Assets/RGTexture/items/blueprint_mech.png""},""IconPosition"":{""x"":0.0,""y"":-0.009,""z"":0.0},""IconScale"":0.3,""IconRotation"":0.0}"
blueprint_m_mecha_normal_b,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mecha_normal_b"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":3000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":false,""IsFromMechFragment"":true,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mecha_normal_b"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""blueprint_mech_0"",""tex"":""Assets/RGTexture/items/blueprint_mech.png""},""IconPosition"":{""x"":0.0,""y"":-0.002,""z"":0.0},""IconScale"":0.3,""IconRotation"":0.0}"
blueprint_m_mecha_normal_2s,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mecha_normal_2s"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":5000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":false,""IsFromMechFragment"":true,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mecha_normal_2s"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""blueprint_mech_3"",""tex"":""Assets/RGTexture/items/blueprint_mech.png""},""IconPosition"":{""x"":0.0,""y"":-0.001,""z"":0.0},""IconScale"":0.3,""IconRotation"":0.0}"
blueprint_m_mech_7,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_7"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_7"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""ufo_4"",""tex"":""Assets/RGTexture/pet/ufo.png""},""IconPosition"":{""x"":0.0,""y"":-0.42,""z"":0.0},""IconScale"":0.5,""IconRotation"":0.0}"
blueprint_m_mech_6,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_6"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_6"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""little_plane_3"",""tex"":""Assets/RGTexture/pet/little_plane.png""},""IconPosition"":{""x"":0.0,""y"":-0.4,""z"":0.0},""IconScale"":0.5,""IconRotation"":0.0}"
blueprint_m_mech_4,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_4"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_4"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""mech2_4"",""tex"":""Assets/RGTexture/pet/mech2.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.5,""IconRotation"":0.0}"
blueprint_m_mech_3,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_3"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_3"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""mech2_3"",""tex"":""Assets/RGTexture/pet/mech2.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.5,""IconRotation"":0.0}"
blueprint_m_mech_2,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_2"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":true,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_2"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""mech2_2"",""tex"":""Assets/RGTexture/pet/mech2.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.5,""IconRotation"":0.0}"
blueprint_m_mech_5,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_5"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_5"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""m_lion_0"",""tex"":""Assets/RGTexture/pet/m_lion.png""},""IconPosition"":{""x"":0.0,""y"":-0.5,""z"":0.0},""IconScale"":0.5,""IconRotation"":0.0}"
blueprint_m_mech_8,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_8"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_8"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""motorcycle_12"",""tex"":""Assets/RGTexture/pet/motorcycle.png""},""IconPosition"":{""x"":0.03,""y"":0.0,""z"":0.0},""IconScale"":0.33,""IconRotation"":0.0}"
blueprint_m_mech_coin,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_coin"",""ResearchMaterials"":[],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":false,""IsFromMechFragment"":true,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_coin"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""mech_coin_icon"",""tex"":""Assets/RGTexture/pet/mech_coin_icon.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.75,""IconRotation"":0.0}"
blueprint_m_mech_9,BluePrint,Blueprint,"{""BlueprintType"":2,""ItemName"":""m_mech_9"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":2000}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_m_mech_9"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/pet.spriteatlasv2"",""sprite"":""m_mech_9"",""tex"":""Assets/RGTexture/pet/m_mech_9.png""},""IconPosition"":{""x"":0.0,""y"":0.04,""z"":0.0},""IconScale"":0.43,""IconRotation"":0.0}"
blueprint_multi_room_skin_0,BluePrint,Blueprint,"{""BlueprintType"":1,""ItemName"":""multi_room_skin_0"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_multi_room_skin_0"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_multi_room_skin_1,BluePrint,Blueprint,"{""BlueprintType"":1,""ItemName"":""multi_room_skin_1"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_multi_room_skin_1"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_multi_room_skin_2,BluePrint,Blueprint,"{""BlueprintType"":1,""ItemName"":""multi_room_skin_2"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_multi_room_skin_2"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
